Deliverable 1
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.1,-274.3751608970802,434.94232667207314,180.2532276059,24.123953787123646,-10.96561001834647,-3.4239951616853,-5.192083694712284,127.84700935229002,-3.4924435212887577,0,0
1.0,-271.9227060882242,377.7941888150783,235.02002547016585,21.80699969455936,-11.211288657322243,-3.096275348153632,-5.1154394128257294,127.20904355445654,-3.9113326109003257,0,0
10.0,-248.17887123275466,307.85580614089616,281.0908354456592,20.172345355182152,-12.917140856813878,-2.456546928038811,-4.372176718500596,123.95370530159533,-4.61703413530515,0,0
100.0,-114.34785425403273,223.55932076079958,221.1105418471983,22.43165528743339,-18.981075775963014,-0.6558430238751392,-0.3145286597319981,102.16188646822472,-5.721067942485218,0,0
1000.0,20.990525586385772,94.9642628956996,95.09824383091794,11.72232795158467,-7.159401849769727,0.0,2.080589464681539,39.61299775266687,-2.3145905607567343,0,0
10000.0,8.690838015063495,17.56048613508157,17.6002474162745,1.7331454828766022,-0.08013666567102662,-0.015409836047619424,0.3270258526032818,5.544244034170225,-0.05593122219868077,0,0
100000.0,0.9203591054420063,1.8314446901616925,1.8358492298333902,0.07269613799591207,0.0,0.0,0.0,0.46733949673526365,0.0,0,0
1000000.0,0.0,0.07276584806508506,0.07320847614902642,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Alpha: 1
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.6050912935377,445.73555678134045,169.67599180307062,24.575405165322422,-10.935679716222545,-3.4831625302287197,-5.199233263667288,127.94066915409196,-3.4156656068177513,0,0
0.1,-274.30899832031207,432.1343800896997,182.99859816789447,24.006918253098842,-10.973877173285167,-3.4085602811206686,-5.190056648592603,127.82194802039517,-3.5125096521604315,0,0
1.0,-271.23329851901474,369.78415803823304,242.34951212729968,21.503012937638136,-11.270326341283816,-3.0465998766334543,-5.094148594330881,127.07988423812805,-3.973764590328627,0,0
10.0,-242.11140405237907,302.3034129233045,280.4758395125002,20.276768132391545,-13.32106298516988,-2.3614924534582724,-4.185847444541761,123.16865653911766,-4.710765819523896,0,0
100.0,-94.63937824048685,211.36512210921208,209.5463770563636,22.364955048588993,-19.175687096018997,-0.46188062148007597,0.21941471395625742,97.66702662686241,-5.732028816596336,0,0
1000.0,22.933122580001715,84.07770330255681,84.2170318911593,10.265650055646374,-5.693173320103325,-0.09971859064348075,1.9932999291150544,34.002375003164744,-1.9590752605980724,0,0
10000.0,7.306755419380656,14.441697232465577,14.474017600652655,1.501569638117467,-0.1279826206516583,-0.11412643881523536,0.36379164529410596,4.573953061471347,-0.13420053593152642,0,0
100000.0,0.8382962888412085,1.5675219862893437,1.5710305656317218,0.15787798119499316,0.0015215953620533304,-0.014420908341443776,0.03911707217798315,0.4738448498668479,-0.010770122880043304,0,0
1000000.0,0.08502688050531634,0.15811762040314573,0.15847139724864262,0.015870487460534675,0.0003183119778443196,-0.0014767849948035558,0.003940936577100711,0.047555579226566204,-0.0010456199741982906,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Deliverable 2
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-271.5046524091765,435.385934675194,168.39835412735044,23.243375564504536,-6.674249809899538,-6.731750164043483,-5.603686845874606,128.184028194644,-2.37796986887592,0,10996.67575473316
0.01,-286.634888431831,522.8623497484595,114.99265765977567,26.629837812325547,-9.87988537446154,-3.2013833067839403,-0.5242216002014776,129.1383429269221,-2.7226873022800366,1,11238.92825054297
0.01,-264.3717224046988,421.1664728314463,183.24761725574854,26.448575769240062,-13.6844154256216,-3.279362095680266,-8.524238722766926,130.54638552018545,-5.490435829568551,2,10205.104645307238
0.01,-269.30573464150694,441.24471300550584,170.63089805409507,24.405538283121526,-15.045367229782869,-2.9673347701952975,-6.49010053940524,133.79979495877953,-0.4156128485270947,3,8827.525882916927
0.01,-279.5733257561502,418.296836673842,199.70031036475586,21.308408454544754,-8.883380389477637,-1.4337998422893812,-4.8566067301542635,116.93712774964075,-6.438662555500628,4,8693.136124501008
CV: ,49961.37065800131,Lambda: ,0.01,Alpha: ,0.0
0.1,-271.5038805479987,435.3706679672174,168.4128649090264,23.24265885436748,-6.674132116698065,-6.731500478541648,-5.6034458458687535,128.1837102355288,-2.3778901161621153,0,10996.675956224415
0.1,-286.6341461541777,522.8674782585492,114.98677887048322,26.62996135222973,-9.879762820699703,-3.2012728095012837,-0.5240359443291165,129.13821511248617,-2.722529869004046,1,11238.948065476281
0.1,-264.37100851799306,421.1570043005959,183.25638046064861,26.448044321036537,-13.684362288616134,-3.2791620162269166,-8.524068877069919,130.5461811772145,-5.490413370842808,2,10205.115750403525
0.1,-269.30516198737087,441.2296185863796,170.64537679147685,24.404797430276446,-15.04526826204389,-2.967133133809009,-6.489961116337531,133.79957919697753,-0.41559675881009667,3,8827.519726935087
0.1,-279.5726879390989,418.29438822208186,199.7021043890675,21.30820010952571,-8.883266119093706,-1.4336703401811373,-4.856469250260495,116.93694657360754,-6.438557786684574,4,8693.149810772495
CV: ,49961.4093098118,Lambda: ,0.1,Alpha: ,0.0
1.0,-271.497194264117,435.3642048893266,168.41259034875443,23.241727546095426,-6.672903867713121,-6.729959495959874,-5.601557271622363,128.1816986969359,-2.3763612452116187,0,10996.672778712422
1.0,-286.6268366154293,522.855009158156,114.99178699861415,26.628628828186084,-9.878613593701216,-3.199766880569858,-0.5223902346346433,129.1364872541744,-2.7212412293634394,1,11238.970627882905
1.0,-264.3645947214603,421.14449751925554,183.26237346417113,26.44645979930619,-13.683563782690257,-3.2775277743953257,-8.522532627873755,130.54454773415972,-5.489454776886412,2,10205.133243660264
1.0,-269.29911883695553,441.2233788810491,170.64542283300676,24.403567801336287,-15.044482012226869,-2.9657901924718817,-6.488438911375904,133.79813021579355,-0.4144524706884396,3,8827.450131919202
1.0,-279.5663163812458,418.2789950525067,199.71095729089546,21.306502542652268,-8.882101771421766,-1.4324170599493744,-4.855087048960839,116.93518853273389,-6.437431656054537,4,8693.274030723438
CV: ,49961.50081289823,Lambda: ,1.0,Alpha: ,0.0
10.0,-271.4292425739437,435.1453649425913,168.56318730226758,23.225837239412847,-6.660675504612545,-6.7135414604413,-5.582121553511226,128.1603513036009,-2.3618439230782395,0,10996.652476886075
10.0,-286.5538009678445,522.6966838900305,115.07552460661555,26.613948850309306,-9.867161582263916,-3.184496062238025,-0.5060443735270388,129.11897141927457,-2.708505553657321,1,11239.107836899773
10.0,-264.2998532444566,420.95102849645014,183.39025567179388,26.42750995352265,-13.675801073688708,-3.2608802563291586,-8.50703512244461,130.52787205165674,-5.480479787015079,2,10205.389491975646
10.0,-269.2388724373654,441.07638077023137,170.7305058479329,24.387659036277945,-15.036500580717135,-2.951967064576412,-6.473291681553371,133.78322610148507,-0.403584526136285,3,8826.7610904905
10.0,-279.5026106460441,418.1385963542855,199.7859592759033,21.290101283561224,-8.870426076604556,-1.4199463913032315,-4.841254017120401,116.91768808851857,-6.426053583599909,4,8694.50031903719
CV: ,49962.411215289176,Lambda: ,10.0,Alpha: ,0.0
100.0,-270.7498811170758,432.9789804389646,170.04726559149805,23.067873139763744,-6.53838414644996,-6.5495050376838,-5.387842887147618,127.94705325213124,-2.2165605781684183,0,10997.04106418102
100.0,-285.82316118164715,521.2729382603923,115.75328900587292,26.47357377504042,-9.752450545853982,-3.032791033611043,-0.34205823789125456,128.9449382125443,-2.5804340191198647,1,11241.343265039855
100.0,-263.65182685805803,418.947018485219,184.73794246398108,26.23486517451914,-13.59839931991769,-3.0940958786703203,-8.351923241562288,130.36076939193097,-5.391349042562502,2,10208.374687178004
100.0,-268.6362343054973,439.6859875800291,171.50172781360862,24.23196979967073,-14.956798151418477,-2.814106170108295,-6.321748997073001,133.63457471086747,-0.29436421252834466,3,8820.08576211196
100.0,-278.8655826451725,416.7749624922431,200.49564379022854,21.12780148549742,-8.753573059490119,-1.2954249769890074,-4.702890842378444,116.7429220871039,-6.311924682041191,4,8707.002135190543
CV: ,49973.84691370138,Lambda: ,100.0,Alpha: ,0.0
1000.0,-263.9558633311258,411.258029536899,184.9448334309013,21.48579650293985,-5.315490608735478,-4.908767455601579,-3.444852559644126,125.81361650742878,-0.7640127848734812,0,11060.203308891065
1000.0,-278.61602727511456,506.0161455359829,123.60704752929526,25.050845121490685,-8.581713955765876,-1.5323977904774921,0.0,127.28367747424507,-1.291694558802844,1,11237.571847774545
1000.0,-257.1738361310877,399.16455269331135,197.9588673709821,24.320111020540054,-12.823544296175433,-1.427401265488957,-6.801312963264143,128.69102812597222,-4.497740445611749,2,10272.220310574672
1000.0,-262.562798100045,424.46379507967197,180.52649425985456,22.649442149421816,-14.208513284152666,-1.392031985702238,-4.771670464878547,132.05121167085414,0.0,3,8750.64039710959
1000.0,-272.4951362386952,402.9098536286044,207.82115835313402,19.495093325461436,-7.585587523190403,-0.0491604874549466,-3.3194453643797535,114.99391030274575,-5.172609554458022,4,8861.860829904337
CV: ,50182.49669425421,Lambda: ,1000.0,Alpha: ,0.0
10000.0,-196.8598615685235,207.4096766914354,322.43363720892825,5.085301538746976,0.0,0.0,0.0,106.55414534053845,0.0,0,15250.764798364393
10000.0,-205.70854808596334,358.2300698546497,197.1592817758654,10.536357485571788,0.0,0.0,0.0,110.18856286207759,0.0,1,14223.012348302154
10000.0,-193.21850967271627,208.2809889783748,324.09356834082223,4.541045617415342,-4.289702643250641,0.0,0.0,113.80943126567523,0.0,2,13937.025962430844
10000.0,-203.15391893270458,278.5820323234328,265.33747181294973,6.272838006062744,-6.827048166292727,0.0,0.0,117.48753775105743,0.0,3,9691.274564206811
10000.0,-207.6580947411568,259.20538124571624,285.2132134995796,1.6432825262679973,0.0,0.0,0.0,97.65203282014289,0.0,4,13200.977769851223
CV: ,66303.05544315542,Lambda: ,10000.0,Alpha: ,0.0
100000.0,0.0,0.0,237.70229743611515,0.0,0.0,0.0,0.0,0.0,0.0,0,89008.50301208066
100000.0,0.0,27.65529399185728,218.7176906223096,0.0,0.0,0.0,0.0,0.0,0.0,1,83185.9420426365
100000.0,0.0,0.0,240.03346817080643,0.0,0.0,0.0,0.0,0.0,0.0,2,74187.99000022715
100000.0,0.0,47.982395357991464,194.09892968841564,0.0,0.0,0.0,0.0,0.0,0.0,3,53464.40749255463
100000.0,0.0,79.1034173272478,156.93346455749472,0.0,0.0,0.0,0.0,0.0,0.0,4,93549.5265948352
CV: ,393396.36914233415,Lambda: ,100000.0,Alpha: ,0.0
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,233850.9478515625
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,195389.66953125
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,210467.90499999997
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,186325.69704101572
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,230786.97954101564
CV: ,1056821.1989648438,Lambda: ,1000000.0,Alpha: ,0.0
"
"
Alpha: 0.2
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-271.49479895446007,434.98553891906005,168.78996205137338,23.22684686182604,-6.674870639452669,-6.728929151015265,-5.601953477636956,128.17969408296813,-2.3798654487577746,0,10996.66050854626
0.01,-286.62867300539216,522.2399428509024,115.60883276111824,26.605152903535554,-9.8810719615481,-3.197464387851612,-0.5260576683642952,129.1328613965169,-2.7256225088654626,1,11237.194477691744
0.01,-264.36131819943853,420.76793303796154,183.63700326974245,26.430712818561243,-13.68625785207566,-3.2773134066414524,-8.523299357468463,130.54351822803721,-5.494188081198026,2,10205.703187041852
0.01,-269.3000219360135,440.8263558245369,171.04320614151572,24.387921658009052,-15.04546590770956,-2.9652772459807983,-6.490132708111347,133.79683454751958,-0.4186615938213418,3,8827.497038484786
0.01,-279.5655640500726,417.951844151248,200.03797795752732,21.2940516147446,-8.884727061305828,-1.4322811025170838,-4.856761913934173,116.93414385016136,-6.441751840425813,4,8693.639917110591
CV: ,49960.69512887523,Lambda: ,0.01,Alpha: ,0.2
0.1,-271.4053925044071,431.43875499306995,172.25672333856343,23.080508145488164,-6.680337383035671,-6.7037570171639835,-5.586356182361639,128.14093181499973,-2.396466734420587,0,10996.598196127283
0.1,-286.57092481529605,516.7837630289163,121.0070813208653,26.388851872065274,-9.891481676347025,-3.162978380658429,-0.5419173133511661,129.0843643222424,-2.7512453691249776,1,11222.105399191641
0.1,-264.2690013555726,417.4501976967634,186.87294273927807,26.282102645180057,-13.701907286334686,-3.2599110208697386,-8.515214818719476,130.51889919662818,-5.525450972752776,2,10210.865953054392
0.1,-269.2470590251575,437.29533309354275,174.51855875015357,24.239316853830793,-15.046634763238675,-2.9477200330479385,-6.49004380975725,133.77119315500224,-0.4443900802441229,3,8827.27486490664
0.1,-279.49475156268323,414.9342148292175,202.98857918691544,21.16847865732154,-8.896534615744955,-1.4189081758744413,-4.857942877007715,116.90762724464705,-6.468672480242903,4,8698.10762284856
CV: ,49954.95203612852,Lambda: ,0.1,Alpha: ,0.2
1.0,-270.533824451414,404.06310771707473,198.8339099499443,21.96703424569811,-6.733811110787076,-6.504624355638592,-5.458281026930193,127.8170184396614,-2.520582380807039,0,11000.355424121153
